threshold,TP,FP,TN,FN,precision,recall
0.0,181,138,0,0,0.567398119122257,1.0
0.05,181,138,0,0,0.567398119122257,1.0
0.1,181,138,0,0,0.567398119122257,1.0
0.15000000000000002,181,138,0,0,0.567398119122257,1.0
0.2,181,138,0,0,0.567398119122257,1.0
0.25,181,138,0,0,0.567398119122257,1.0
0.30000000000000004,181,138,0,0,0.567398119122257,1.0
0.35000000000000003,181,138,0,0,0.567398119122257,1.0
0.4,181,138,0,0,0.567398119122257,1.0
0.45,181,138,0,0,0.567398119122257,1.0
0.5,181,138,0,0,0.567398119122257,1.0
0.55,181,138,0,0,0.567398119122257,1.0
0.6000000000000001,181,138,0,0,0.567398119122257,1.0
0.65,181,138,0,0,0.567398119122257,1.0
0.7000000000000001,181,138,0,0,0.567398119122257,1.0
0.75,181,138,0,0,0.567398119122257,1.0
0.8,176,129,9,5,0.5770491803278689,0.9723756906077348
0.8500000000000001,162,111,27,19,0.5934065934065934,0.8950276243093923
0.9,114,55,83,67,0.6745562130177515,0.6298342541436464
0.9500000000000001,38,3,135,143,0.926829268292683,0.20994475138121546
1.0,35,0,138,146,1.0,0.19337016574585636
