threshold,TP,FP,TN,FN,precision,recall
0.76,61,60,0,0,0.5041322314049587,1.0
0.78,61,60,0,0,0.5041322314049587,1.0
0.8,59,58,2,2,0.5042735042735043,0.9672131147540983
0.82,58,57,3,3,0.5043478260869565,0.9508196721311475
0.84,48,53,7,13,0.4752475247524752,0.7868852459016393
0.86,42,41,19,19,0.5060240963855421,0.6885245901639344
0.88,39,34,26,22,0.5342465753424658,0.639344262295082
0.9,33,26,34,28,0.559322033898305,0.5409836065573771
0.92,23,10,50,38,0.696969696969697,0.3770491803278688
0.94,16,7,53,45,0.6956521739130435,0.26229508196721313
0.96,11,0,60,50,1.0,0.18032786885245902
0.98,11,0,60,50,1.0,0.18032786885245902
1.0,11,0,60,50,1.0,0.18032786885245902
